,Unnamed: 0,Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed,Postal Code
1133,1133,À LOUER apparte de luxe - 468 de l'Eglise Verdun - 4 1/2,$1400.00,468 de l'Eglise Verdun H4G2V3 QC Canada,1,4 1/2,Non,Non,
1134,1134,HUGE Beautiful 7 1/2 apartment in Cote St-Luc.,$1300.00, cote st-luc h4w1e8 QC Canada,2,5 1/2,Non,Non,
1135,1135,Location temporaire Bachelor métro Honoré-Beaugrand,$925.00,H1K Canada,1,3 1/2,Oui,Unknown,
1142,1142,4.5 APARTMENT DOWNTOWN MONTREAL,$1170.00,1961 Tupper Canada,1,4 1/2,Non,Unknown,
1143,1143,4 1/2 GRAND À LOUER N.D.G,$795.00,5311 Walkley H4V2M6 Montreal QC,1,4 1/2,Non,Non,
1150,1150,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
1177,1177,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
1185,1185,3 1/2 coin st michel/sauvé/fleury libre 1 dec 560$,$560.00, MONTREAL h1h 5e3 QC Canada,1,3 1/2,Oui,Unknown,
1188,1188,3 et demi sous-sol neuf à côté station Laurier,$1200.00,plateau Canada,1,3 1/2,Non,Oui,
1192,1192,3 et demi sous-sol neuf à côté station Laurier,$1200.00,plateau Canada,1,3 1/2,Non,Oui,
1195,1195,Grand 7 1/2 métro Jolicoeur,$1080.00,H4E1L9 Canada,1,6 1/2,Non,Non,
1197,1197,Fort Lauderdale Florida,$1700.00,Montreal QC H2s 3e9 Canada,2,4 1/2,Oui,Non,
1201,1201,2 1/2 à louer - Ville-Marie Montréal,$1635.00,110 Rue Sainte-Thérèse Montréal QC H2Y1E6,1,2 1/2,Oui,Oui,
1206,1206,Magnifique 7 1/2 - Exceptional 7 ½,$1625.00,2975 Sherbrooke H8S1K3 Lachine QC,2,6 1/2,Non,Non,
1214,1214,Ahuntsic Spacieux et lumineux tout inclus,$2475.00,20e Av Montréal QC Canada,2,5 1/2,Oui,Non,
1217,1217,Apartment à louer pour Décembre,$500.00,H1L5B9 Canada,1,2 1/2,Oui,Unknown,
1224,1224,LUXURY Lowney Beautiful View Terrace Gym,$1450.00,H3C4A8 Canada,1,2 1/2,Non,Unknown,
1228,1228,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
1231,1231,Recherché :3 1/2 saint leonard,$680.00,H1R2W8 Canada,1,2 1/2,Non,Non,
1232,1232,Grand et rénové 6 1/2 CHAUFFÉ à Louer sur Beaubien,$1650.00,2685 Beaubien Est Montréal H1Y1G8 QC,1,6 1/2,Non,Non,
1233,1233,Recherché :Je cherche le logement 3 1/2 Apartment 3 1/2 wanted,$650.00, Montreal H3H1H6 QC Canada,1,3 1/2,Non,Oui,
1234,1234,3 1/2 very cozy quiet $700 min from beautiful water views,$700.00,H8R3S3 Canada,1,2 1/2,Non,Unknown,
1235,1235,Appartement meublé à louer,$1600.00,H1V1Z3 Canada,2,4 1/2,Oui,Unknown,
1240,1240,Snowdon basement apartment,$650.00,5228 A Clanranald H3X2S4 Montreal QC,1,1 1/2,Non,Unknown,
1258,1258,Recherché :Looking for 3 1/2 Apartment Montreal,$800.00,H3C Canada,1,2 1/2,Non,Unknown,
1261,1261,Modern 3 1/2 in Downtown Montreal,$1380.00,Rue Mackay Montréal QC H3G Canada,1,2 1/2,Non,Oui,
1265,1265,Lasalle bachelor great location near river parks and downtown.,$520.00,83A Alepin h8p2c9 Lasalle QC,1,1 1/2,Oui,Unknown,
1269,1269,Im looking for bachelor studio to rent budget 550,$550.00,H4A3K5 Canada,1,1 1/2,Non,Unknown,
1270,1270,Échange/Swap Très beau 4 et 1/2 style condo dans Ahuntsic à écha,$Échange, Montréal H2C 2p2 QC Canada,1,4 1/2,Non,Non,
1273,1273,3 1/2 Belle Opportunités a saisir a 700 m de Metro Jarry,$612.00,8190 Av Christophe Colomb Montreal H2P1X2 QC,1,3 1/2,Non,Unknown,
1276,1276,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
1288,1288,Little Italy - Great 1BR apartment w full backyard!,$1100.00,H2S3E5 Canada,1,2 1/2,Non,Unknown,
1293,1293,SWAP grand 4 1/2 Plateau/Village,$1275.00,Montréal QC Canada H2L3X5,1,4 1/2,Non,Oui,
1294,1294,Available mid-Jan to mid-march,$900.00, Montreal H2k1a3 QC Canada,1,2 1/2,Oui,Unknown,
1296,1296,5 1/2 UDeM POLY HEC avec 2 stationnements,$1349.00,H3T1K9 Canada,1,5 1/2,Non,Non,
1299,1299,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
1311,1311,GRAND ET BEAU 4 1/2: SUR LA BELLE RUE BOYER,$1050.00, Montréal H2r2r8 QC,1,4 1/2,Non,Non,
1313,1313,Recherché :I’m Looking for an Apartment 3 1/2,$550.00,H8R2A3 Canada,1,2 1/2,Non,Unknown,
1315,1315,Bel appartement sur le plateau 3 1/2 avec électros,$1330.00,H2H1L7 Canada,1,3 1/2,Oui,Non,
1317,1317,Recherché :Recherche 3 1\2,$Surdemande, montreal h2n1t5 QC Canada,3,3 1/2,Non,Non,
1320,1320,>>>✅✅>>> $1000 BUY HOME - NO BANK NEEDED - RENT TO OWN - HOUSE,$999.00,Cérès Québec Canada,1,5 1/2,Non,Non,
1326,1326,2 1/2 à louer - Ville-Marie Montréal,$1635.00,110 Rue Sainte-Thérèse Montréal QC H2Y1E6,1,2 1/2,Oui,Oui,
1339,1339,CONDO MEUBLÉ À LOUER VIEUX MONTRÉAL,$1600.00,901 Rue de la Commune E Montréal QC H2L OE2 Canada,1,3 1/2,Oui,Oui,
1341,1341,Fully furnished 3 1/2 very close to McGill winter term sublease,$1100.00, Montreal H2X2C8 QC Canada,1,2 1/2,Oui,Non,
1347,1347,Super Cozy & sweet Downtown best location Condo for rent!,$1380.00,Rue St-Alexandre Montréal QC Canada,1,2 1/2,Oui,Unknown,
1348,1348,5 1/2 DE LUXE ROSEMONT - ELECTRO - WIFI INCLUS - 1er DECEMBRE,$1300.00,6522 29ième avenue Ville de Montréal H1T3H4 QC,1,5 1/2,Non,Oui,
1350,1350,3 Bdrm/2 baths.Beautiful.Bright.2017construction. CSL $1950,$1950.00,7369 Chemin Kildare Côte Saint-Luc QC H4W Canada,2,5 1/2,Non,Non,
1353,1353,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
1354,1354,DANS MILE-EX SUPERBE LOFT 6397 ST-LAURENT (BEAUBIEN),$1550.00,Place Gennevilliers Laliberté Montréal QC H1V Canada,1,4 1/2,Oui,Unknown,
1365,1365,Transfert de bail,$1126.00,H3H1C3 Canada,1,2 1/2,Non,Non,
1372,1372,Vieux-Rosemont 6 1/2,$1683.00,h1y2n8 Canada,2,6 1/2,Non,Non,
1373,1373,Verdun 4 1/2 RDC / first floor + Parking Dec. 1st Lease Transfer,$860.00,H4G2S6 Canada,1,4 1/2,Non,Unknown,
1374,1374,Stunning 1 BR Downtown Apartment For Rent,$2600.00,Avenue des Canadiens-de-Montréal Montréal QC H3B Canada,1,2 1/2,Oui,Non,
1380,1380,TOUT INCLUS METRO JARRY 1 chambre fermée,$1100.00,st-andré H2p1Y6 montreal QC,1,3 1/2,Oui,Non,
1390,1390,Recherché :Looking for a studio/apartment for rent,$Surdemande, montreal h8r1p5 QC Canada,1,1 1/2,Oui,Non,
1393,1393,3 1/2 entièrement rénové - Villeray - metro Jarry,$950.00,H2P1Z3 Canada,1,3 1/2,Non,Non,
1410,1410,Recherché :3 1/2 - 700$ sud-ouest de Montréal,$700.00,400 H3A0A9 Montréal QC,1,3 1/2,Non,Non,
1435,1435,Recherché :logement (1 1-2 2 1/2 3 1/2),$600.00, H2x 2c4 Montréal QC,1,1 1/2,Oui,Unknown,
1444,1444,>⭐>⭐>⭐ $1000 BUY CONDO - NO BANK NEEDED - RENT TO OWN - BUY HOME,$999.00,Cérès Québec Canada,1,5 1/2,Non,Non,
1454,1454,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
1455,1455,Condo A Louer,$1175.00,Boul Gouin O Montréal QC Canada,1,4 1/2,Non,Non,
1459,1459,Magnifique Logement 6 1/2 à louer,$1475.00,Rue Du Quesne Montréal QC Canada,1,6 1/2,Non,Non,
1463,1463,3 1/2 rénové disponible - rue Boyer à Rosemont,$775.00,Montreal QC H2G1T3 Canada,1,3 1/2,Non,Non,
1492,1492,Recherché :Looking for a 41/2 for a mother and baby,$800.00,Postal Code H8P2R8 Canada,1,4 1/2,Non,Unknown,
1494,1494,Logement style condo à louer (4 1/2),$1275.00,H1W1L6 Canada,1,4 1/2,Non,Non,
1498,1498,Grand 4 1/2 rénové + parking très ensoleillé sur le Plateau!,$1600.00,1671 Avenue Bureau Montréal QC H2J Canada,1,4 1/2,Non,Non,
1499,1499,Recherché :COUPLE ETUDIANT - SOUS LOCATION - 4 MOIS À GATINEAU,$Échange, Gatineau j8x2c2 QC Canada,1,2 1/2,Non,Non,
1500,1500,rosemont/cote des neiges/villeray/ahuntsic/ mtl nord/cartiervill,$525.00, h2r2e4 montreal QC Canada,1,4 1/2,Non,Non,
1505,1505,Recherché :COUPLE ETUDIANT - SOUS LOCATION - 4 MOIS À GATINEAU,$Échange, Gatineau j8x2c2 QC Canada,1,2 1/2,Non,Non,
1512,1512,louer un logement,$920.00, Montréal H2J3L7 QC Canada,1,3 1/2,Non,Non,
1513,1513,Grand 4 ½ Rénové en 2018 à Rosemont,$920.00, Montréal H2J3L7 QC Canada,1,3 1/2,Non,Non,
1527,1527,Beau grand 3 1/2 rénové dans Rosemont Petite Patrie disponible,$800.00,Rue Bélanger près Sagard H2g1e5 Montreal QC,1,3 1/2,Non,Non,
1539,1539,Looking for someone to rent home or apt with I have furniture,$Surdemande, Montreal or Othere H2H1G2 QC Canada,1,4 1/2,Oui,Non,
1543,1543,4 1/2 à louer à Hochelaga-Maisonneuve,$1400.00,Rue Hochelaga Québec Canada,1,4 1/2,Oui,Oui,
1544,1544,Grand Rez-de-chaussée Ground Floor,$1275.00, verdun h4g2b2 QC Canada,1,6 1/2,Non,Non,
1546,1546,For rent,$1500.00, BOISCHATEL G0A1H0 QC Canada,1,5 1/2,Oui,Non,
1547,1547,Condo à louer entièrement meublé et équipé au métro Rosemont,$1950.00,790 Rosemont H2S0A7 Montreal QC,1,2 1/2,Oui,Non,
1559,1559,Grand loft à louer tout équipé et près de tous les commodités,$1000.00,4827 Rue Sainte-Catherine Est Montréal QC H1V1Z7 Ville de Montréal QC,1,4 1/2,Oui,Non,
1562,1562,Lease transfer-large 4 1/2-lower plateau,$860.00,rue Roy Est H2W1M6 Montreal QC,1,3 1/2,Non,Non,
1582,1582,6 1/2 bas de duplex/cour/honoré-beaugrand/1er fevrier,$1300.00, Montréal h1k2n5 QC Canada,1,5 1/2,Non,Unknown,
1600,1600,Beau grand 3 1/2 rénové dans Rosemont Petite Patrie disponible,$800.00,Rue Bélanger près Sagard H2g1e5 Montreal QC,1,3 1/2,Non,Non,
1621,1621,5 1/2 NDG fresh paint call for visit,$830.00, montreal h4v2v6 QC Canada,1,5 1/2,Non,Non,
1627,1627,Beau grand 3 1/2 rénové dans Rosemont Petite Patrie disponible,$800.00,Rue Bélanger près Sagard H2g1e5 Montreal QC,1,3 1/2,Non,Non,
1639,1639,4 1/2 NDG all renovated call for visit,$1050.00, montreal h4v2v6 QC Canada,1,4 1/2,Non,Non,
1640,1640,Beau grand 3 1/2 rénové a louer métro Honoré-Beaugrand,$620.00, montreal h1k 3h5 QC Canada,1,3 1/2,Non,Non,
1641,1641,"5 1/2 Dans le secteur de ""La Petite Italie""",$1600.00,7175 Clark Montreal H2S3G5 QC,1,5 1/2,Non,Non,
1656,1656,LOGEMENT 4½ ENSOLEILLÉ DERNIÈRE ÉTAGE IMMEUBLE EN BÉTON,$750.00, Montreal H1H1H8 QC Canada,1,4 1/2,Non,Unknown,
1657,1657,appartment a louer,$600.00, st-leonard h1t1h6 QC Canada,1,2 1/2,Non,Non,
1683,1683,Metro Jean-Talon 5 1/2 non disponible,$Surdemande,s Montreal H2R2E4 QC Canada,1,5 1/2,Non,Oui,
1684,1684,3 1/2 tout équipé avec internet au cœur du Plateau (1er janvier),$1300.00, Montréal H2L4H7 QC Canada,1,3 1/2,Oui,Non,
1692,1692,**7 1/2 VERDUN***RDC** PRES DU METRO PISTE CYCLABLES RESTOS!,$1100.00,127 2ieme avenue h4g2w2 verdun QC,1,4 1/2,Non,Non,
1694,1694,GRAND 3 1/2 MEUBLÉ LOCATION MENSUELLE,$1100.00, LaSalle H8R3N7 QC Canada,1,3 1/2,Oui,Non,
1706,1706,Recherché :Recherche grand 3 1/2 ou 4 1/2,$650.00,h1l Canada,1,2 1/2,Non,Unknown,
1707,1707,Recherché :Cherche 6 ou 7 1/2 3 ou 4 ch fermées le plateau ou NDG/CDN,$Surdemande,Rue saint Denis Montréal H2W2M2 QC,1,6 1/2,Oui,Unknown,
1719,1719,Rosemont - Location - 3 1/2,$620.00,2129 Augier Montréal H2H2J7 QC,1,3 1/2,Non,Non,
1724,1724,Magnifique et lumineux 1 12 avec chambre spacieuse .,$570.00,5822 1er avenue Canada,1,1 1/2,Non,Unknown,
1731,1731,Fully Renovated 3 Bed 2 Bath 2 balcony + skylight top floor,$1995.00, Cote St Luc H4V1A4 QC Canada,2,5 1/2,Oui,Unknown,
1741,1741,Recherché :Jeune professionnelle recherche 3 1/2 ou 4 1/2,$600.00,4540 de lorimier H2H2B5 Montréal QC Canada,1,4 1/2,Non,Unknown,
1744,1744,5 1/2 for rent,$1195.00, Montréal H2N1x1 QC Canada,1,5 1/2,Non,Non,
1746,1746,3 1/2 â louer du 8 janvier au 29 mars 2019 presque 3 mois,$550.00,105 Montréal h3l1t3 QC Canada,1,2 1/2,Oui,Oui,
1749,1749,Bachelor bord de l’eau,$800.00,Ile des soeurs Canada,1,3 1/2,Non,Non,
1756,1756,Open house 2000 Cardinal Emard November 17- 1:00-3:00,$685000.00,H4E1N5 Canada,2,5 1/2,Non,Unknown,
1757,1757,Recherché :Recherche 1 1/2 pour le 1 Janvier 2019 à Montréal,$650.00, Montréal h2a3e5 QC Canada,1,1 1/2,Oui,Non,
1761,1761,Grand 5 1/2 au 2e étage d’un duplex disponible le 1er décembre.,$1000.00,9039 Godbout H8R2H7 Lasalle QC,1,5 1/2,Non,Non,
1764,1764,Joli 4.1/2 (cuisine salon pièce-double) dans 3-plex centenaire,$950.00,2181 Dorion H2K4B4 Montréal QC,1,4 1/2,Non,Non,
1766,1766,4 1/2 NEUF dans Lachine ouest avec vue sur le bord de l’eau!!,$1350.00, H8t1s1 Lachine QC,1,4 1/2,Non,Non,
1768,1768,APPARTEMENT MEUBLÉ ET COSY CENTRE VILLE ( PARKING INTÉRIEUR),$1200.00, Montréal H3H1C3 QC Canada,1,3 1/2,Oui,Non,
1772,1772,Condo for Rent DOWNTOWN $1480/month (3 1/2),$1480.00,1770 Rue Joseph Manseau Montréal QC H3H Canada,1,2 1/2,Non,Oui,
1774,1774,Condo construction 2015 station joliette,$885.00,2590 rue joliette Canada,1,3 1/2,Non,Unknown,
1778,1778,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
1779,1779,**7 1/2 VERDUN***RDC** PRES DU METRO PISTE CYCLABLES RESTOS!,$1100.00,127 2ieme avenue h4g2w2 verdun QC,1,4 1/2,Non,Non,
1783,1783,Beau 4 1/2 à Louer,$630.00,H1L3E5 Canada,1,4 1/2,Non,Oui,
1787,1787,Recherché :Pour juin 2019 je cherche à Montréal grand 3 1/2 dans CDN-NDG,$Surdemande, Montréal a1b 2c3 QC Canada,1,3 1/2,Non,Unknown,
1793,1793,Recherché :en janvier 2019 recherche 4.5,$Surdemande, h2w2k7 montréal QC,1,4 1/2,Non,Unknown,
1794,1794,CHERCHE 5 ET DEMI MONTRÉAL,$850.00,saint michel Ville de Montréal H2A2L7 QC Canada,1,5 1/2,Non,Oui,
1797,1797,4 1/2 PRES DE METRO FRONTENAC,$850.00,1461 rue d'iberville h2k3b7 MONTREAL QC,1,4 1/2,Non,Non,
1812,1812,3 1/2 Petite Bourgogne / Little Burgundy,$1225.00,H3J2V4 Canada,1,2 1/2,Non,Non,
1816,1816,AHUNTSIC 5 1/2 + sous sol avec entré indépendante,$850.00,H2B1C4 Canada,2,5 1/2,Non,Non,
1822,1822,3 1/2 à louer,$900.00,H2G2P4 Canada,1,3 1/2,Oui,Non,
1823,1823,Rosemont. Appartement meublé à louer au mois.,$1775.00,h2g 3b8 Canada,1,3 1/2,Oui,Non,
1825,1825,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
1829,1829,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
1835,1835,3 1/2 a louer,$620.00,H1H3B9 Canada,1,3 1/2,Non,Oui,
1880,1880,4 1/2 a louer au coeur du plateau,$827.00,451 Boulevard St Joseph Est Montréal h2J 1J8 QC,1,4 1/2,Non,Unknown,
1887,1887,Super 3 1/2 en béton à louer,$650.00,Montréal QC Canada H1J,1,3 1/2,Oui,Oui,
1893,1893,Condo à partager,$Surdemande, Griffintown h3c0p3 QC Canada,1,1 1/2,Oui,Non,
1904,1904,**7 1/2 VERDUN***RDC** PRES DU METRO PISTE CYCLABLES RESTOS!,$1100.00,127 2ieme avenue h4g2w2 verdun QC,1,4 1/2,Non,Non,
1906,1906,Grand 2 1/2 à louer pour étudiante/2 étudiantes/couple étudiants,$750.00, Ahunstic H2c2j6 QC Canada,1,2 1/2,Non,Non,
1909,1909,beau petit logement tout inclus près BerriUqam libre 16dec,$960.00,1603 montcalm h2l3h3 montreal QC,1,2 1/2,Oui,Unknown,
1911,1911,Daily / weekly rent of studio,$Surdemande,montreal Canada,1,1 1/2,Oui,Non,
1917,1917,Beau grand 3 1/2 rénové dans Rosemont Petite Patrie disponible,$800.00,Rue Bélanger près Sagard H2g1e5 Montreal QC,1,3 1/2,Non,Non,
1918,1918,CESSION (TRANSFERT) DE BAIL,$Surdemande, SAINT-LÉONARD H1T1J2 QC Canada,1,5 1/2,Non,Unknown,
1924,1924,Superbe 3 1/2 à louer,$550.00,H4N1L3 Canada,1,3 1/2,Non,Unknown,
1930,1930,Sub rental appartement from December 15th to March 15th,$Surdemande,h4m2r1 Canada,1,3 1/2,Oui,Unknown,
1932,1932,Grand 4 1/2 à louer ** cession de bail ** dispo dès maintenant,$660.00,H1M1K2 Canada,1,4 1/2,Non,Unknown,
1936,1936,Je cherche un logement 5 1/2 à Montréal,$Surdemande,H1K2Y3 Canada,1,5 1/2,Non,Unknown,
1947,1947,Recherché :2 et demi a louer,$Surdemande, Montreal h4j1j6 QC Canada,1,2 1/2,Non,Non,
1949,1949,Beautiful condo for rent in Old Montreal,$1700.00,90 rue prince h3c2m8 montreal QC,1,2 1/2,Non,Unknown,
1951,1951,3 Bdrm/2 baths.Beautiful.Bright.2017construction. CSL $1950,$1950.00,7369 Chemin Kildare Côte Saint-Luc QC H4W Canada,2,5 1/2,Non,Non,
1955,1955,Griffintown condo 3 1/2 for rent,$2000.00,185 rue de séminaire h3c 2a3 GRIFFINTOWN QC,1,3 1/2,Oui,Non,
1962,1962,Cherche logement fumeur!,$Surdemande, Montréal H1n1n5 QC,1,3 1/2,Oui,Non,
1966,1966,**CONDO de LUXE**meublé**CENTRE-VILLE**PISCINE INTÉRIEURE**WIFI,$1880.00,1225 Boulevard René-Lévesque O Montréal QC H3G Canada,1,3 1/2,Oui,Non,
1974,1974,BACHELOR 4 1/2 $800 MEUBLÉ- METRO VILLA MARIA,$800.00,Rue Byron Montréal QC H3W Canada,1,4 1/2,Oui,Non,
1976,1976,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
1984,1984,4 1/2 meublé coquet à deux pas de HEC Polytechnique et UdeM,$1300.00,2767 Édouard-Montpetit app.209 Montréal H3T1J6 QC,1,4 1/2,Oui,Unknown,
1989,1989,Fully furnished 2 bedroom condo in Old Port!,$3200.00, Montreal H2Y1C5 QC Canada,1,4 1/2,Oui,Unknown,
1996,1996,Modern condo on 2 floors available now!,$2300.00, Montreal H2Z1G6 QC Canada,1,4 1/2,Non,Unknown,
