,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
4446,347 500,"1042, rue Arnois",Cap-Rouge,3,1+2,1560,11700
4447,95 000,"526, chemin du Lac Mitchell",La Macaza,1,1,1560,20000
4448,129 500,"484, route 279",St-Damien-De-Buckland,3,2,1028,12579
4449,524 500,"1463, boulevard Alexis-Nihon",Saint-Laurent,3,1+1,1550,1502
4450,158 500,"59, 5e Rue",Montmagny,4,2,1685,8098
4451,350 000,"135, rue Principale",Ste-Euphemie-Sur-Riviere-Du-Sud,4,2,1424,60867
4452,268 000,"3570, chemin du Fleuve Est",Nicolet,2,2,1870,9902
4453,469 500,"16815, rue Calixa-Lavallée - Par Constructions Trudeau",Mirabel (Domaine-Vert Nord),3,1+1,2129,5544
4454,499 000,"751, route 138",Cap-Santé,3,2,2460,6000
4455,329 000,"823, rue Corinne",Saint-Sauveur,5,2+1,1504,1134
4456,237 500,"831, rue du Pacifique",Wickham,3,2,865,6831
4457,298 000,"121, 60e Avenue",St-Paul-De-L'Ile-Aux-Noix,2,2,1735,8100
4458,550 000,"86-88, chemin des Alouettes",Lac-Superieur,3,2,2100,107106
4459,209 000,"1281, rue Marini",Sherbrooke (Jacques-Cartier),3,1+2,1623,3348
4460,185 000,"714, avenue du Coteau",Poularies,2,1,1176,33250
4461,237 400,"291, rue du Grand-Ruisseau",Gatineau (Gatineau),2,2,1020,3513
4462,250 000,"1583, rue Préfontaine",Longueuil (Vieux-Longueuil),2,1+1,1180,4750
4463,379 000,"217, 9e Rang",Ste-Brigide-D'Iberville,3,1+2,1370,98582
4464,599 000,"458, rue Sainte-Madeleine",Le Sud-Ouest,2,2+1,1562,1826
4465,275 000,"4, rue Coulombe",Saint-Gédéon,2,2+1,1562,33335
4466,337 000,"2071, rue Goyer",Chomedey,3,1+1,2400,2728
4468,214 500,"1292, rue de la Canardière",Val-Morin,3,1,1050,14936
4469,715 000,"5720, avenue McMurray",Côte-St-Luc / Hampstead / Montréal-Ouest,4,2+1,1250,4590
4470,349 990,"428, rue du Poitou",Terrebonne (Lachenaie),4,2,1400,5262
4471,205 000,"13, rue du Sureau",Pont-Rouge,2,1+1,1400,313
4472,499 000,"75, chemin Southridge",Chelsea,4,2+1,2407,43056
4473,249 900,"403, rue du Versant-du-Ruisseau",Prévost,2,1+1,1400,6489
4474,249 000,"72, rue Saint-Louis",Warwick,4,3,2160,35988
4475,300 000,"1033-1035, boulevard des Chutes",Beauport,7,2,2160,8400
4476,187 500,"915, 118e Rue",Shawinigan (Shawinigan-Sud),3,1+1,1458,3950
4477,217 900,"116, rue Scullion",Gatineau (Buckingham),3,1+1,1450,3023
4478,425 000,"458-460-464, rue Saint-Jacques",Napierville,6,3+1,1450,39420
4479,229 900,"787, chemin du Chenal-du-Moine",Ste-Anne-De-Sorel,4,2,2016,12000
4480,515 000,"197, chemin des Hirondelles",St-Faustin-Lac-Carré,4,2+1,2600,64000
4481,190 000,"325, rue Goyer",Alma,4,2,1092,5460
4482,499 900,"50, rue de l'Oasis",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),4,2,1538,30837
4483,267 824,"12370, rue Jean-Baptiste-Normand",Mirabel (St-Augustin),3,1+1,1546,3552
4485,328 900,"706, rue de Chenonceau - Modèle L'Alto - Par construction Simon Cousineau",St-Jérôme (Bellefeuille),3,1+1,1647,5000
4486,311 900,"694, rue de Chenonceau - Modèle Le Beauvoir - Par construction Simon Cousineau",St-Jérôme (Bellefeuille),2,1,1263,5000
4487,198 900,"2429, boulevard Hamelin, Modèle Jum-Vic",Trois-Rivières (Trois-Rivières),2,1,1065,5280
4488,321 900,"702, rue de Chenonceau - Modèle Le Alzari - Par construction Simon Cousineau",St-Jérôme (Bellefeuille),3,1+1,1729,5000
4490,280 000,"2250, rang Saint-David",St-Gabriel-De-Brandon,3,1,800,1545676
4491,204 500,"3, Hyatt",Stanstead,4,2+1,1200,8000
4492,120 000,"574, route 132 Ouest",Percé,3,1+1,728,25000
4493,398 000,"6, carré Celanese",Drummondville (Drummondville),3,23,2152,17479
4494,269 400,"5085, rue Bossuet",Lévis,3,1,980,5507
4495,395 000,"155, 6e Avenue",Terrebonne (Terrebonne),4,1+1,1573,4746
4496,168 400,"402, rue des Frênes",Portneuf,2,1,921,5900
4497,349 000,"26, rue des Marronniers",Blainville,3,1+1,850,6500
4498,171 000,"171, rue Gosselin",St-Raymond,2,1,951,10000
4499,399 900,"22, rue de Callières",Blainville,4,1+1,951,7646
4500,230 000,"5208, rue Massue",Les Saules,2,2,960,5695
4501,300 000,"243, rue de Melbourne",Gatineau (Gatineau),4,2,1180,4504
4502,279 000,"350, rue Aquila",Terrebonne (Terrebonne),4,1+1,1180,5699
4503,19,"3721, route des Rivières",St-Étienne-De-Lauzon,2,1,800,10000
4504,625 000,"644, rue des Champs-Élysées",Repentigny (Repentigny),3,2+1,2580,8700
4505,197 500,"884, rue Simard",St-Ambroise,4,1+1,962,10500
4506,309 900,"3, rue des Saules",Ste-Martine,3,2,1080,9158
4507,268 900,"547, rue de la Brise",Salaberry-De-Valleyfield,2,2+1,1100,7588
4508,284 900,"588, rue de l'Érablière",Sherbrooke (Fleurimont),3,1+2,1452,6810
4509,464 500,"86, rue de Bernières",Granby,4,2,2092,34522
4510,118 832,"1685, Rue Laplante",St-Hyacinthe (Douville),4,2,2092,7427
4511,485 000,"121, rue Jean-Bruchési",St-Augustin-De-Desmaures,3,3+1,2005,7680
4512,525 000,"5820, rue Saumur",Anjou,3,2+1,1546,3503
4513,459 000,"5640, place Vendôme",Brossard,4,2,1204,6870
4514,559 900,"7520, rue de la Belle-Arrivée",Neufchatel,4,2+1,1204,9099
4515,598 000,"507, rue des Falaises",Mont-St-Hilaire,3,2+1,1908,9600
4516,429 900,"98, rue des Grands-Châteaux",Gatineau (Aylmer),3,2,1445,5801
4517,249 900,"65, rue des Alpes",Ste-Brigitte-De-Laval,3,1+1,1316,3622
4518,249 000,"788, rue de Tracy",Chicoutimi (Chicoutimi),3,1+1,1161,6729110
4519,359 000,"184, rue de l'Île-Morris",Terrebonne (Lachenaie),3,1+1,1472,6362
4520,295 000,"2135, carré Mauger",Neufchatel,3,2,1189,6300
4521,309 900,"309, rue de Castillon",Gatineau (Masson-Angers),5,2+1,1530,5812
4522,427 000,"220, rue des Pionniers",St-Charles-Borromée,3,1+1,2000,36717
4523,323 500,"24, rue Lesage",Pont-Rouge,3,1+1,1438,20000
4524,319 000,"2101, chemin de l'Étang",Ste-Adèle,3,2,1531,50808
4525,172 000,"776, rue Maisonneuve",Granby,3,1+2,2189,3280
4526,195 000,"1160, 3e Rang de Wendover Sud",St-Cyrille-De-Wendover,4,2+1,2189,100728
4527,325 000,"713, rue Therriault",St-Rédempteur,3,2,1260,6133
4528,368 000,"7589, rue du Bélier",Charlesbourg,4,2,1008,5800
4529,260 000,"36, rue des Jardins",St-Ferréol-les-Neiges,3,1+1,1584,5625
4530,190 000,"189, rue de la Congrégation",Trois-Pistoles,4,2,1260,17889
4531,150 000,"57, rue Principale",St-Flavien,6,1,1537,6474
4532,322 000,"1441, rue des Grandes-Marées",Cap-Rouge,3,1+1,624,6000
4533,179 000,"70, chemin du Lac-Brochet Nord",La Tuque (La Bostonnais),2,2,1406,19649
4534,529 000,"1311, rue des Seigneurs",Ste-Foy,2,1,1406,1
4535,2 110 000,"299, Boulevard d'Amsterdam - Par Solico Construction",Gatineau (Aylmer),2,1,1406,18286
4536,219 000,"158, rue Principale",Ste-Justine,4,2,2500,11108
4537,352 000,"1291, rue Paul-Émile Dubé",St-Romuald,3,1+1,1366,5565
4538,179 000,"135, rue Senechal",Cacouna,1,1+1,609,363852
4539,379 000,"1000, boulevard du Prince-de-Galles",Sherbrooke (Brompton),6,4,2486,32108
4540,449 000,"1185, rang Giard",Roxton Pond,1,1+1,2256,149648
4541,449 000,"9, rue des Cerisiers",St-Basile-Le-Grand,4,2+1,1674,6079
4542,274 000,"1841, chemin du Lac-Supérieur",Lac-Superieur,3,2,1200,32291
4543,259 995,"3286, chemin Adam",St-Damien,2,1,90816,9163
4545,240 000,"36, rue Cartier",St-Jérôme (St-Jérôme),3,2,968,5812
4546,474 900,"805, rue du Biat",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),5,2+1,968,6788
4547,229 500,"1907, Chemin Servant",Papineauville,2,1,960,18436
4548,240 000,"20, rue du Passant",St-Faustin-Lac-Carré,4,2,1270,21601
4549,364 900,"334, rue de la Paumelle",Beauport,3,2,1500,6000
4551,345 000,"21, Rue de Saint-Petersbourg",Gatineau (Aylmer),3,1+1,1500,3416
4552,309 000,"2850, rue Gigault",Ste-Foy,3,2,900,6400
4553,505 000,"773, rue Richelieu",St-Marc-sur-Richelieu,5,2+1,2482,27144
4555,239 900,"1326, rue du Sous-Bois",St-Faustin-Lac-Carré,3,2+1,1460,20000
4556,276 000,"521, rue Villeneuve",St-Honore-De-Chicoutimi,3,2,1071,20714
4557,315 000,"4561, chemin St-Isidore",Jonquière (Jonquière),5,2,1071,24385
4558,349 900,"2128, chemin Pierrot",Mont-Laurier,3,1,1320,40000
4559,289 000,"1102, chemin des Ruisseaux",St-Honore-De-Chicoutimi,5,2+1,1200,100800
4561,83 000,"441, 14e Avenue Est",Shawinigan (Grand-Mère),3,2,1344,3420
4562,343 000,"17, rue des Roitelets",Delson,3,2+1,990,5200
4563,550 000,"29, rue Albert-Camus",Gatineau (Aylmer),7,3+1,2268,8819
4564,389 000,"2, rue de Chatillon",Lorraine,3,1+1,1100,7913
4566,232 000,"5790, rue de l'Harmonie - Modèle La Bellevue - Par Construction Martin Roy",Lac-Mégantic,2,1,913,14532
4567,285 000,"816, rue Denison Est",Granby,4,1,913,32379
4568,398 000,"301-2040, boulevard Décarie",Côte-des-Neiges / Notre-Dame-de-Grâce,3,1,1075,6000
4569,140 000,"1720, chemin Des Chanterelles",Ste-Adèle,1,1,1075,141725
4570,335 000,"222, rue de la Mission",St-Nicolas,2,1,1018,13900
4571,302 000,"171, rue Bella-Vista",St-Basile-Le-Grand,4,2,960,5800
4572,347 900,"160, rang Saint-Thomas",Ste-Marguerite-De-Beauce,4,2+2,1193,1268870
4573,389 500,"9660, rue Marie-Parent",Lebourgneuf,4,2,1053,8825
4574,375 000,"636, rang de la Grande-Ligne",Ste-Marguerite-De-Beauce,4,1,1800,42000
4575,459 900,"1462, rue de Jonquière",Gatineau (Gatineau),2,1+1,1990,9838
4576,239 000,"3681, rue du Lys",Terrebonne (La Plaine),5,1,792,15994
4577,294 900,"24, rue Louis-Hébert",Loretteville,4,1+1,1192,10885
4578,649 000,"5344, avenue MacMahon",Côte-des-Neiges / Notre-Dame-de-Grâce,2,1+1,1511,3999
4579,699 500,"3805, rue Baldwin",Mercier / Hochelaga / Maisonneuve,6,4+1,1511,5000
4580,292 500,"204, rue Anicet-Bourgeois",Repentigny (Le Gardeur),4,1+1,1511,6487
4581,324 900,"57, rue de Roberval",Gatineau (Gatineau),3,2,1100,8800
4582,479 000,"401-2350, rue du Barachois",Lebourgneuf,3,2+1,2360,1
4583,248 900,"271, rue Pinault",Vaudreuil-Dorion,3,1,1011,5037
4584,355 000,"77, rue de la Polyvalente",Charlesbourg (ND-Des-Laurentides),3,1+1,1664,6590
4585,89 500,"1570, 5e Rang Est",Kinnear's Mills,1,1,906,133008
4586,282 000,"886, rue Coudret",Beauport,3,2+1,1002,4550
4587,150 000,"2905, rue Cardin",Sorel-Tracy,3,1+1,1300,51100
4588,299 000,"475, 16e Avenue Nord",St-Jérôme (St-Antoine),4,2,1135,10000
4589,289 900,"12, rue des Vieux-Cèdres",Loretteville,4,1+1,1430,5868
4590,349 000,"7540, avenue Paul-Comtois",Charlesbourg,4,2,1430,5999
4591,359 000,"1192, rue de Richmond",Granby,3,2+1,2155,59224
4592,228 500,"393, rue Celina",Sherbrooke (Mont-Bellevue),3,1+1,1024,7824
4593,239 500,"723, rue des Vétérans",Rimouski (Pointe-Au-Père),6,2,1080,6750
4594,385 000,"383, route 116",Kingsey Falls,2,2,1080,5378667
4595,210 000,"2, place François-Perrot",L'Ile-Perrot,4,1,1958,1641
4596,339 000,"22, chemin du Harfang-des-Neiges",Stoneham,3,2,1055,16000
4597,95 000,"55, rue Purcell",Ste-Marcelline-De-Kildare,2,1,785,4009
4598,389 000,"12110, rue Conrad-Bernier",Neufchatel,6,2+1,1638,5000
4599,469 900,"446, rue Pauline-Julien",Repentigny (Repentigny),4,3+1,2432,4843
4600,210 000,"411, rue Saint-Hubert",Granby,4,1+1,1554,8040
4602,450 000,"970, rue Oscar-Benoit",Pointe-Aux-Trembles / Montréal-Est,5,1+1,1624,4890
4603,199 000,"14, chemin des Nénuphares - Par Construction Gilbert et fils",Lac-Etchemin,3,1,1000,94240
4604,335 000,"88, rue Roger-Boisvert",Sherbrooke (Fleurimont),7,2+1,2722,7000
4605,257 000,"82, rue de Saint-Faustin",St-Jérôme (St-Jérôme),3,1+1,1330,5500
4606,184 500,"1065, 168e rue",St-Georges,3,1+1,1250,4800
4608,198 500,"3, rue des Bouleaux",St-Hilarion,4,2+2,1700,7500
4610,109 000,"30, rue Bellevue - Par Construction C.R.D inc.",Ste-Catherine-de-la-JC,1,1,930,6000
4611,715 000,"4977, chemin Royal",Ile d'Orléans (St-Jean),3,2,1750,16785
4612,439 500,"960, rue Champêtre",Ste-Adèle,4,2+1,2284,19083
4613,349 900,"359, rang Double",Mont-St-Gregoire,3,2,1897,32291
4614,224 990,"157, rue Rioux",Sherbrooke (Jacques-Cartier),3,1+1,1568,6745
4615,205 000,"240, rue Simoneau",Windsor,3,1,1282,6090
4616,248 330,"190, rue Athéna - Quartier St-Élie - Par les Constructions Christian Belleau",Sherbrooke (St-Élie-d'Orford),4,1+1,1540,5217
4617,305 000,"144, 13e Avenue",Daveluyville,3,1+2,2160,31100
4618,147 900,"212, rue de la Petite-Prairie",Varennes,1,1,718,5358
4619,280 000,"893, rue Mainville",Longueuil (St-Hubert),3,2,946,3422
4620,369 000,"593, rue Jarry",Ste-Marie-Madeleine,4,2+1,946,16943
4621,410 000,"22, rue des Catalpas",St-Philippe,3,2,1401,7958
4622,375 000,"943, chemin des Hêtres",Lac-Sergent,3,2,1152,146326
4623,329 500,"12240, rue Félix-l'allier",Mirabel (St-Augustin),4,2,1152,5520
4624,415 000,"19, chemin du Détour",St-Donat,3,2,2000,30000
4625,319 900,"18, rue Laflamme",St-Jérôme (St-Jérôme),6,3,2000,6300
4626,155 000,"25, rue de l'Arpenteur",Drummondville (St-Nicéphore),3,1,1248,13928
4627,219 900,"631, rue Hector-Fabre",Lévis,3,1+1,647,4263
4628,189 000,"229, rue des Bouleaux",Rimouski (Rimouski),4,2,768,7000
4629,393 600,"18750, rue Jean-Lesage",Mirabel (St-Janvier),3,1+1,1250,7506
4630,299 000,"790, rang Double",St-Ambroise-De-Kildare,4,2,1090,53900
4631,230 000,"1658, rue Hector-Fabre",Lévis,3,2,785,5073
4632,202 000,"117, rue Martin",St-Étienne-De-Lauzon,4,2,732,6792
4635,287 000,"1279, rang Double",Rougemont,3,1+1,1565,22400
4636,234 900,"13400, rue Henri-Joly",Mirabel (St-Canut),4,1,1565,5250
4637,215 100,"15, rue des Mûriers",Breakeyville,3,1+1,720,6070
4638,499 000,"221, Chemin de l'Amitié",St-Elie-de-Caxton,5,2+1,7104,105895
4639,385 000,"68, chemin des Bouleaux",Frelighsburg,2,2,1250,304920
4640,189 000,"5805, avenue Sansoucy",St-Hyacinthe (St-Thomas-D'Aquin),2,1+1,1088,6649
4641,289 000,"295, rue Baribeau",St-Casimir,3,2,2016,21609
4642,444 000,"19, chemin McCarthy",Chelsea,4,5,2016,151555
4643,153 500,"141, rue Jean-XXIII",Alma,3,2,960,7807
4644,328 000,"10, rue des Serpentines",St-Henri-de-Lévis,3,1+1,1230,7344
4647,194 900,"254, avenue du Sentier",St-Raymond,3,1+1,1937,5085
4648,220 000,"24, avenue du Rang-Saint-Ignace",Beauport,4,2,1008,6474
4649,339 000,"102, rue Isabelle-Doucinet",Charlesbourg,3,1+1,1352,4844
4650,393 500,"43, rue des Orchidées",St-Jean-sur-Richelieu (St-Luc),3,1+1,1521,13285
4651,279 000,"2936, chemin St-Louis",Ste-Foy,4,2,1200,5611
4652,549 900,"427, rue des Sittelles",St-Colomban,4,2+1,1321,45000
4653,759 000,"11730, rue Tolhurst",Ahuntsic / Cartierville,3,2,1970,5796
4654,115 900,"212-214, rue Saint-François-Xavier",Montebello,4,2,1970,13050
4655,384 990,"48, place de l'Épervier",Chateauguay,4,2+2,2176,5856
4657,315 000,"8, rue Beausoleil",Beaupré,5,2,900,2152
4658,205 000,"39, rue Prénoveau",Charlesbourg (ND-Des-Laurentides),2,1+1,640,4858
4659,155 000,"Lot3443629, chemin Hunter",St-Hippolyte,2,1+1,640,73879
4660,589 000,"3166, boulevard Chèvremont",L'île-Bizard / Sainte-Geneviève,5,2+1,1707,10135
4661,220 000,"35, avenue Jacques-Lelièvre",Montmagny,5,2,1050,6267
4662,415 000,"187, rue de la Renaissance",Blainville,4,2,1660,6000
4663,775 000,"150, Montée de l'Éden",Drummondville (St-Charles-De-Drummond),4,3+1,2600,12359
4664,215 000,"88, rue du Chevalier-de Rouville",Gatineau (Hull),2,1+1,1010,4099
4665,269 000,"94, rue des Flandres",Rimouski (Rimouski),3,2,960,7293
4666,439 000,"125, rue des Intendants",St-Étienne-Des-Gres,4,2+1,2380,12750
4667,465 000,"299, croissant de la Rive",Cowansville,3,1,2380,11015
4668,489 000,"1091, boulevard Sainte-Marguerite",Mercier,6,2+1,2052,368006
4669,229 900,"35, rue de la Villa",Val-Des-Monts (Perkins),2,1,1275,20687
4670,329 500,"149, rue des Flandres",Rimouski (Rimouski),5,2+1,1664,7092
4671,270 000,"331, rue Roux",Kingsey Falls,4,2,1506,14154
4672,495 000,"251, chemin du Lac",St-Juste-Du-Lac,3,2,1650,198981
4673,239 000,"139, rue des Intendants",Varennes,3,1+1,1623,1623
4674,306 800,"26, avenue de Montsec",Lorraine,4,2,1127,6500
4675,825 000,"9, rue Oscar-Guertin",Gatineau (Aylmer),4,2+1,1453,43319
4677,259 000,"457, rue Forestier",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),5,2,1000,7340
4678,419 900,"566, rue du Charpentier",Bromont,3,2+1,1580,9728
4679,488 000,"179, chemin des Prés",Cantley,3,2+1,2200,50241
4680,197 000,"18, route Hamilton",Pabos,3,2,1066,19310
4681,345 000,"207, rue Mailloux",St-Jean-sur-Richelieu (St-Luc),4,2,1560,15314
4682,299 000,"60, chemin des Raymond",Rivière-Du-Loup,4,2+1,1345,6267
4683,249 900,"158, rue Huot",Château-Richer,4,1+1,864,11769
4684,250 000,"2550, 27e Avenue",Drummondville (Drummondville),4,2,1120,6600
4685,175 000,"150, rue Brisebois",Trois-Rivières (Trois-Rivières-Ouest),2,2,914,5055
4686,445 000,"128, chemin de la Forge Ouest",St-Adolphe-D'Howard,4,1+2,2200,18298
4687,286 000,"3-4310, rue du Catamaran",Fabreville,2,1,1015,11731
4688,216 000,"1867, route de l'Aéroport",Ste-Foy,4,2,697,1135
4689,165 000,"820, rue Labrie",Baie-Comeau,5,2,1120,6962
4690,344 900,"1457, rue de la Sommière",St-Nicolas,3,2,1281,8300
4691,479 000,"1905, chemin des Patriotes Nord",Mont-St-Hilaire,4,2,1720,13090
4692,149 999,"7850, boulevard Wilfrid-Hamel",Ste-Foy,2,1+1,950,4000
4693,280 000,"7, chemin des Quatre-Soleils",St-Sauveur,3,2,1800,41944
4694,299 000,"350, avenue Gauguin",St-Félix-De-Valois,3,2,1520,20000
4696,Prix sur demande,"200, rue des Nénuphars",St-Alphonse-Rodriguez,4,2,1135,59300
4697,325 000,"9505, rue Grondin",Charlesbourg,4,2,1040,7800
4699,319 000,"429, rue des Bouleaux",Beauharnois (Maple Grove),4,2,1460,8050
4700,500 000,"1966-1968, rue Dufresne",Ville-Marie (Centre-Ville et Vieux Mtl),2,1,1460,1580
4701,429 000,"28, rue de Pontbriand",St-Bruno-De-Montarville,3,1+1,960,6000
4702,169 900,"595, rue Chapleau",Trois-Rivières (Cap-De-La-Madeleine),3,2,1000,4000
4703,150 000,"18, chemin du Lac-Légaré",St-Michel-Des-Saints,2,1,935,40000
4704,359 000,"486, chemin du 10e Rang",Newport,4,1,2432,2179691
4705,420 000,"88, 122e Avenue",St-Hippolyte,3,2+2,2404,29089
4706,319 000,"27, rue de la Sterne",Magog,2,2+2,1183,14888
4707,306 250,"11, rue Ouellet",St-Pacôme,2,2+1,1360,32976
4708,189 900,"579, rue Girouard Ouest",St-Hyacinthe,4,1+1,1360,1669
4709,649 900,"17, rue de Florence",Candiac,4,2+1,1711,5500
4710,268 500,"101, rue du Cristal",Terrebonne (La Plaine),4,2,1088,6892
4711,919 000,"18, rue Hemlock",Gatineau (Aylmer),4,3+1,3600,18120
4712,350 000,"2118, rue Goyer",Chomedey,4,1+1,1247,2978
4713,229 500,"60, rue Cécile",St-Jean-De-Matha,3,1,1920,17329
4714,298 000,"737, rue de l'Horizon",Rimouski (Rimouski),3,1+1,1692,5421
4715,225 000,"3917-3919, rue Panet",Jonquière (Jonquière),7,2+1,1692,5005
4716,465 000,"48, chemin Sabourin",Cantley,3,3,3070,60476
4717,153 000,"1691, rue P.-A.-Gouin",Trois-Rivières (Trois-Rivières),3,1+1,1176,515
4718,447 000,"250, rue Fournier",La Prairie,3,2,1306,9902
4719,245 000,"280, rue Mazarin",Pointe-Aux-Trembles / Montréal-Est,4,2,1306,1956
4720,395 000,"88, avenue Cyr",St-Sauveur,2,1,1403,7761
4723,321 900,"718-720, rue Chenonceau - Modèle Le Moma - Par construction Simon Cousineau",St-Jérôme (Bellefeuille),3,1+1,1767,5369
4725,411 900,"909, avenue Madeleine de Verchères",Saint-Sacrement,2,1+1,1500,3261
4726,162 900,"4609, rue des Patriotes - Par Développement Innoconcept",Contrecoeur,2,1,1300,2454
4727,469 900,"2292, rue de Fontainebleau",Mascouche,3,1+2,1700,5000
4728,144 000,"2649, chemin Fitch Bay",Stanstead,2,1+1,1582,66579
4729,390 000,"560, place Léveillée",Ste-Catherine,5,2+1,1420,8428
4730,160 000,"5979, chemin Victoria",Beaulac Garthby,2,1+1,900,53800
4731,295 000,"5263, rue Louis-G. Caron",Shawinigan (Shawinigan),5,2+1,1980,8665
4733,285 000,"855, rue Louis-Riel",Sherbrooke (Jacques-Cartier),4,2,1131,11584
4734,280 000,"1823, chemin des Chénard",Rimouski (Le Bic),5,2,2400,53819
4735,264 900,"9, rue Pilotte",Gatineau (Buckingham),4,1+1,1165,6889
4736,339 500,"519, chemin de la Grande-Côte",Rosemère,5,2+1,1442,3777
4738,49 900,"200, route de la Montagne",Métabetchouan-Lac-à-la-Croix,1,1,360,50000
4739,98 000,"798, rue Principale Ouest",Berthier-Sur-Mer,1,1,360,21321
4740,187 000,"2-3085, rue Arthur-Houle",Longueuil (St-Hubert),2,1,970,215
4741,250 000,"668, boulevard Brassard",St-Paul,4,2,780,82000
4742,295 000,"3345, chemin Milletta",Magog,3,2+1,1456,42323
4743,153 900,"10, rue des Rochelois",Port-Cartier,5,2,986,8448
4744,275 000,"1, rue des Ormeaux",St-André-D'Argenteuil,2,1+1,1508,72944
4745,430 000,"390, rue de Broqueville",Beauport,5,2,1760,9900
4746,184 500,"1585, avenue de la Capricieuse",Limoilou,3,3,1130,1441
4747,319 000,"421, rang Point-du-Jour Sud",L'Assomption,3,1,1964,24606
4748,197 500,"64, rue Yves-Godbout",Rivière-Du-Loup,3,2,1152,6280
4749,315 000,"267, chemin du Richelieu",St-Basile-Le-Grand,2,1,930,11105
4750,339 900,"589, avenue Ludovic-Laurier",Terrebonne (Lachenaie),4,2,1058,4753
4751,375 000,"75, RUE DES MERISIERS",St-Sauveur,4,2,1147,10500
4752,229 000,"32, rue d'Argenteuil",Granby,3,2,1200,22533
4753,395 000,"22, chemin Saumure",Messines,3,1+1,2058,39989
4754,249 000,"83, rue Charlevoix",Gatineau (Hull),2,1+1,900,1842
4755,479 000,"1168, rue Grant",Longueuil (Vieux-Longueuil),2,2+1,1575,8744
4756,436 000,"656-658, rue Laurie",Longueuil (Greenfield Park),4,2+1,1575,7125
4757,500 000,"1609-1611, rue des Flamants",St-Michel,4,1+2,1575,16940
4758,39 000,"985, chemin des Rives",Boileau,1,1,1575,166000
4759,324 000,"361, 3e Avenue",Deux-Montagnes,3,2,1845,8400
4760,2 500 000,"45, chemin du Lac Bataille",Val-Des-Monts,3,2,1845,52838280
4761,529 900,"166, rue Brassard",St-Joseph-Du-Lac,6,2+1,2600,32656
4763,440 000,"22, chemin Pichette",Témiscouata-sur-le-Lac,2,1,1522,27829
4764,159 000,"927, chemin du Saphir",Quyon,3,1,1565,17437
4765,288 000,"1210, rue du Centenaire",St-Agapit,4,2,1172,8448
4766,307 000,"7264, rue des Hauteurs",Lebourgneuf,3,2+1,1131,3672
4767,749 000,"58, avenue de Bercy",Candiac,6,3+1,2268,7998
4768,265 000,"370, rue Louis",Ste-Sophie,3,1+1,1500,35523
4769,262 000,"1, rue Goudreault",Ste-Brigitte-De-Laval,3,1+1,1688,14076
4770,235 000,"50, rue Nicolet",Gatineau (Hull),3,2,1218,4000
4771,690 000,"2576, rue Gregg",Sillery,3,1+1,2287,8364
4772,399 000,"113, rue de l'Aigle",St-Colomban,4,2+1,1900,37000
4773,299 000,"51, rue Latour",St-Basile-Le-Grand,4,1,884,4750
4774,325 000,"185, rue Jos-Monferrand",Ste-Adèle,4,2,1442,17474
4775,229 700,"1831-1833, rue Principale",St-Théodore d'Acton,6,2,1442,17010
4776,132 000,"3, rue Demers",St-Norbert-D'Arthabaska,4,2,2208,5995
4777,249 999,"84, route du Fleuve",Beaumont,2,1,1100,8565
4778,198 900,"80, rue Lefebvre",Salaberry-De-Valleyfield,3,2,1050,7050
4779,210 000,"8, chemin Tremblay",St-Aime-Des-Lacs,3,3,832,6000
4780,300 000,"16, rue du Quai",Fossambault-Sur-Le-Lac,5,1+1,832,11275
4781,275 000,"50, rue Rolland",St-Liguori,3,2,1008,32392
4782,298 900,"113, rue Courcelles",Boisbriand,3,2,840,4887
4783,535 000,"1122, rue Jean-Lesage",Ste-Julie,3,1+1,1767,6071
4784,209 000,"169, rue Thibeault",Chicoutimi (Chicoutimi-Nord),5,2,1036,6000
4785,414 500,"244, croissant du Rivage",L'Épiphanie,3,2+1,1913,18459
4786,245 000,"16, rue Delormier",Trois-Rivières (Trois-Rivières-Ouest),4,2,1134,8000
4787,459 000,"206-1661, rue Notre-Dame Ouest",Griffintown,1,1,1002,17405
4788,250 000,"10, côte du Quai",Deschaillons,2,1,710,55208
4789,315 000,"3710, boulevard des Chenaux",Trois-Rivières (Trois-Rivières),4,1+1,2240,8675
4790,245 000,"1982, rue des Harfangs",Chicoutimi (Chicoutimi),4,2,864,3200
4791,289 900,"377, 19e Avenue Ouest",Venise-En-Quebec,3,1+1,1233,16030
4792,180 000,"21, rue du Ruisseau",Marsoui,4,2,1000,10000
4793,270 900,"261, rue des Plaines",St-Ambroise-De-Kildare,3,1+1,3600,25500
4794,300 000,"13, rue Augustin-Thibault",Gatineau (Hull),4,1,1231,4900
4795,312 500,"1880, Chemin de la Longue-Pointe",Drummondville (St-Nicéphore),5,2+1,1542,33010
4796,275 000,"1292, chemin de Bourg-Louis",St-Raymond,3,1+1,1568,28000
4797,449 000,"12015, 87e Avenue",Rivière des Prairies,7,2,1400,9780
4798,365 000,"555, rue du Sanctuaire",Ste-Adèle,4,2+1,2400,30116
4801,160 000,"11955, 14e Avenue",St-Georges,5,1,1120,3600
4802,175 000,"9, avenue des Amandiers",ND-Des-Prairies,3,2,642,4000
